Timestamp,X-coordinate
15.885,336.0
15.938,336.0
15.978,336.5
16.037,336.5
16.088,337.0
16.122,337.5
16.174,337.0
16.244,337.0
16.300,337.5
16.333,338.5
16.421,345.0
16.463,350.5
16.501,359.5
16.550,372.0
16.591,389.5
16.634,402.0
16.681,405.5
16.715,0.0
16.748,0.0
16.793,0.0
16.839,0.0
16.880,0.0
16.927,0.0
16.978,0.0
17.015,0.0
17.061,0.0
17.104,0.0
17.131,0.0
17.173,0.0
17.228,0.0
17.264,0.0
17.305,0.0
17.359,0.0
17.410,0.0
17.441,0.0
17.485,0.0
17.534,0.0
17.588,0.0
17.641,0.0
17.684,0.0
17.731,0.0
17.768,0.0
17.831,0.0
17.879,0.0
17.931,0.0
17.974,0.0
18.033,0.0
18.084,0.0
18.119,0.0
18.169,0.0
18.214,0.0
18.255,0.0
18.289,0.0
18.344,0.0
18.382,0.0
18.434,0.0
18.463,0.0
18.519,0.0
